"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"25-Jul-2024","25-Jul-2024","CE","23,000.00","1,245.05","1,420.25","1,200.00","1,405.05","1,408.10","24,406.10","3,41,875","8,32,51,93,292.50","46,20,68,292.50","7,55,100","-19,650"
"24-Jul-2024","25-Jul-2024","CE","23,000.00","1,410.00","1,487.00","1,283.95","1,401.40","1,423.25","1,401.40","2,17,650","5,30,87,67,041.25","30,28,17,041.25","7,74,750","-72,350"
"23-Jul-2024","25-Jul-2024","CE","23,000.00","1,560.10","1,564.10","1,091.40","1,464.50","1,451.70","1,464.50","2,78,700","6,79,13,45,772.50","38,12,45,772.50","8,47,100","-30,050"
"22-Jul-2024","25-Jul-2024","CE","23,000.00","1,501.00","1,611.00","1,390.00","1,518.90","1,532.60","1,518.90","94,200","2,30,84,22,026.25","14,18,22,026.25","8,77,150","-45,425"
"19-Jul-2024","25-Jul-2024","CE","23,000.00","1,796.75","1,796.75","1,510.00","1,533.05","1,538.00","1,533.05","1,38,325","3,40,93,27,258.75","22,78,52,258.75","9,22,575","-63,075"
"18-Jul-2024","25-Jul-2024","CE","23,000.00","1,600.00","1,835.00","1,540.00","1,807.45","1,810.00","1,807.45","2,38,750","5,89,91,81,790.00","40,79,31,790.00","9,85,650","-17,375"
"16-Jul-2024","25-Jul-2024","CE","23,000.00","1,625.45","1,690.00","1,622.60","1,646.75","1,638.15","1,646.75","66,900","1,64,92,66,885.00","11,05,66,885.00","10,03,025","-47,800"
"15-Jul-2024","25-Jul-2024","CE","23,000.00","1,593.70","1,641.40","1,549.00","1,625.45","1,627.30","1,625.45","45,425","1,11,75,88,675.00","7,28,13,675.00","10,50,825","-15,350"
"12-Jul-2024","25-Jul-2024","CE","23,000.00","1,425.60","1,599.00","1,400.05","1,526.65","1,533.75","1,526.65","1,31,825","3,23,32,40,082.50","20,12,65,082.50","10,66,175","-50,175"
"11-Jul-2024","25-Jul-2024","CE","23,000.00","1,406.00","1,425.35","1,262.00","1,399.50","1,417.90","1,399.50","1,04,250","2,53,79,30,808.75","14,01,80,808.75","11,16,350","-25,275"
"10-Jul-2024","25-Jul-2024","CE","23,000.00","1,483.15","1,487.45","1,242.90","1,374.00","1,354.05","1,374.00","1,69,150","4,11,88,80,605.00","22,84,30,605.00","11,41,625","-21,450"
"09-Jul-2024","25-Jul-2024","CE","23,000.00","1,400.00","1,525.00","1,400.00","1,501.45","1,490.00","1,501.45","91,525","2,23,91,18,255.00","13,40,43,255.00","11,63,075","-19,200"
"08-Jul-2024","25-Jul-2024","CE","23,000.00","1,380.00","1,411.00","1,311.00","1,384.55","1,388.00","1,384.55","59,600","1,45,19,70,085.00","8,11,70,085.00","11,82,275","-16,475"
"05-Jul-2024","25-Jul-2024","CE","23,000.00","1,323.15","1,429.10","1,263.15","1,386.00","1,396.65","1,386.00","1,08,575","2,64,17,07,767.50","14,44,82,767.50","11,98,750","-34,225"
